route_no,stop_sequence,stop_name,latitude,longitude
252C,24,Peenya 2nd stage,13.0104014184,77.5066151563
252C,25,Dairy Hegganahalli,13.0077983346,77.5056334678
252C,26,Hegganahalli,13.003594894,77.5046371948
252C,27,Hegganahalli Cross,12.9999309921169,77.5043194718103
252C,28,Neelagiri Thopu,12.9959163829483,77.502548458266
252C,29,Vigneshwara Nagara,12.994542,77.504387
252C,30,Aralimara Sunkadakatte,12.9919419531,77.5046968739
252C,31,Sunkadakatte,12.99017682,77.50427273
252C,32,Herohalli Cross,12.98747364,77.49338256
252C,33,Anjananagar Gollarahatti,12.9861001,77.48849859
252C,34,Byadarahalli,12.98507034,77.48179644
252C,35,College Stop Gollarahatti,12.98588682,77.47827834
252C,36,Gollarahatti,12.9884301,77.47284183
252C,37,KACHOHALLI GATE,12.99054276,77.46860038
252C,38,Chikkagollarahatti,12.99147704,77.46517338
252C,39,Forest Gate,12.99166919,77.4591491
252C,40,Machohalli Gate,12.99075432,77.4542291
252C,41,Machohalli Colony,12.9969621084627,77.4516973004743
252C,42,Machohalli,13.0061897241345,77.4529241683666
252D,1,Kempegowda Bus Station,12.978062,77.572342
252D,2,Central,12.9899747663903,77.572098665973
252D,3,Malleshwaram Circle,12.9978901319732,77.5713099939793
252D,4,Malleshwaram 8th Cross,12.99966,77.57128
252D,5,Malleshwaram 15th Cross,13.005030714,77.5711547211
252D,6,Malleshwaram 18th Cross,13.0090816878,77.5710476004
252D,7,Tata Institute,13.01565694,77.56289701
252D,8,Yeshawanthapura TTMC,13.017420746122461,77.55707759428026
252D,9,Govardhan Talkies,13.01856,77.5532
252D,10,YPR RMC,13.02413089,77.54796652
252D,11,MEI Guragunte Palya,13.02639399,77.54394798
252D,12,Goragunte Palya,13.0286869,77.53990578
252D,13,CMTI Goragunte Palya,13.03046443,77.53663904
252D,14,SRS Jalahalli Cross,13.03422844,77.53034623
252D,15,Peenya 1st stage,13.03541374,77.52633088
252D,16,Jalahalli cross,13.03940372,77.51900024
252D,17,System Jalahalli Cross,13.0349750492869,77.5180530152307
252D,18,TVS Cross,13.0274656602299,77.5202097461948
252D,19,Rajagopala Nagara Police Station,13.0237221508969,77.5218548774689
252D,20,Rajani Farm,13.01967,77.51882
252E,1,Kempegowda Bus Station,12.978062,77.572342
252E,2,Central,12.9899747663903,77.572098665973
252E,3,Malleshwaram Circle,12.9978901319732,77.5713099939793
252E,4,Malleshwaram 8th Cross,12.99966,77.57128
252E,5,Malleshwaram 15th Cross,13.005030714,77.5711547211
252E,6,Malleshwaram 18th Cross,13.0090816878,77.5710476004
252E,7,Tata Institute,13.01565694,77.56289701
252E,8,Yeshawanthapura TTMC,13.017420746122461,77.55707759428026
252E,9,Govardhan Talkies,13.01856,77.5532
252E,10,YPR RMC,13.02413089,77.54796652
252E,11,MEI Guragunte Palya,13.02639399,77.54394798
252E,12,Goragunte Palya,13.0286869,77.53990578
252E,13,CMTI Goragunte Palya,13.03046443,77.53663904
252E,14,SRS Jalahalli Cross,13.03422844,77.53034623
252E,15,Peenya 1st stage,13.03541374,77.52633088
252E,16,Jalahalli Cross,13.0384499487,77.5183223281
252E,17,System Jalahalli Cross,13.0349750492869,77.5180530152307
252E,18,TVS Cross,13.0274656602299,77.5202097461948
252E,19,Rajagopala Nagara Police Station,13.0237221508969,77.5218548774689
252E,20,Laggere Cross,13.0217799099515,77.5227384638287
252E,21,MEI Colony,13.0200859532,77.5208252482
252E,22,Parvathi Nagar,13.0163802885483,77.5203619526771
252E,23,Laggere,13.0104310505389,77.5249467306941
252F,1,Kempegowda Bus Station,12.978062,77.572342
252F,2,Okalipuram,12.9820035,77.56719739
252F,3,Sujatha Talkies,12.9823967256,77.5619286764
252F,4,Rajaji Nagara Entrance,12.984173862614,77.5571756916783
252F,5,Bashyam Circle,12.984882744293888,77.55408166507414
252F,6,Rajaji Nagar Old Police station,12.9892352111788,77.5542717624473
252F,7,Rajajinagar ESI,12.9907001963087,77.5525134744742
252F,8,Basaveshwara College,12.9944013538408,77.5526553249175
252F,9,Navarang Talkies,12.9980712198,77.5509731937
252F,10,Rajaji Nagar 1st Block,13.0038023338056,77.5499202599005
252F,11,Mahalakshmi Layout Entarence,13.0076989252,77.5478180777
252F,12,Srinivasa Temple,13.0082578187105,77.5451206006909
252F,13,Mahalakshmi layout,13.0124988221,77.5439064112
252F,14,Shankar Nagara,13.0162404347228,77.5435864497309
252F,15,Krishnananda Nagara Mahalakshmi Nagara,13.0180656743723,77.5412950298052
252F,16,Jn Of Kanteerava Studio,13.02147,77.53536
252F,17,Devasthana,13.0208168465131,77.5291600944555
252F,18,Sonal Garments,13.0215568934,77.5263869762
252F,19,Laggere Cross,13.0228990470922,77.522871601588
252F,20,Rajagopalanagara Police Station,13.0236263589571,77.5217239023852
252F,21,TVS Cross Peenya 2nd Stage,13.0281588586524,77.5189786542219
252F,22,Rolling Mill,13.0265658974519,77.5149225018528
252F,23,NTTF,13.0242868792,77.5108279847
252F,24,Brundavana Peenya 2nd Stage,13.0204510689,77.5082448497
252F,25,Peenya 2nd stage 14th Cross,13.0163185392,77.5059616193
252F,26,Peenya 2nd stage,13.0110313068506,77.5068119553069
252FA,1,Kempegowda Bus Station,12.978062,77.572342
252FA,2,Okalipuram,12.9822041,77.56790264
252FA,3,Sujatha Talkies,12.9823967256,77.5619286764
252FA,4,Rajaji Nagara Entrance,12.984173862614,77.5571756916783
252FA,5,Bashyam Circle,12.984882744293888,77.55408166507414
252FA,6,Rajaji Nagar Old Police station,12.9892352111788,77.5542717624473
252FA,7,Rajajinagara ESI Hospital,12.9914277233,77.5525558647
252FA,8,Basaveshwara College,12.9944013538408,77.5526553249175
252FA,9,Navarang Talkies,12.9980712198,77.5509731937
252FA,10,Canara Bank,13.0003932387422,77.5504913175261
252FA,11,Rajaji Nagar 1st Block,13.004485,77.548936
252FA,12,Mahalakshmi Layout Entarence,13.0076989252,77.5478180777
252FA,13,Srinivasa Temple,13.0082578187105,77.5451206006909
